id,name,place_of_birth,date_of_birth,ethnicity,nationality,specialization,gender,height,weight,astrological_sign
127,李安,臺灣,1900-1959,漢,中國,娛樂/文藝,男,170-180,60-70,天蠍
128,張愛玲,上海,1900-1959,漢,中國,文藝,女,未知,未知,天秤
129,劉若英,臺灣,1970-1979,漢,中國,娛樂/文藝,女,s160,40-50,雙子
130,希特勒,其它,1900前,其它,歐洲,政治,男,未知,未知,金牛
131,伊一,湖南,1980-1989,漢,中國,娛樂,女,160-170,40-50,獅子
132,文根英,韓國,1980-1989,未知,韓國,娛樂,女,160-170,40-50,金牛
133,徐熙媛,臺灣,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,天秤
134,古巨基,香港,1970-1979,未知,中國/香港,娛樂,男,170-180,60-70,獅子
135,李春波,其它,未知,漢,中國,娛樂/文藝,男,170-180,未知,天蠍
136,劉翔,上海,1980-1989,漢,中國,體育,男,180-190,geq90,巨蟹
137,蒼井優,日本,1980-1989,未知,日本,娛樂,女,s160,未知,獅子
138,麻生希,日本,1980-1989,其它,日本,娛樂,女,160-170,未知,射手
139,甄子丹,廣東/香港,1960-1969,未知,未知,娛樂/文藝,男,170-180,未知,獅子
140,蔡康永,臺灣,1960-1969,漢,中國,娛樂/文藝,男,160-170,未知,雙魚
141,白岩松,內蒙古,1960-1969,蒙古,中國,娛樂/其它,男,170-180,60-70,處女
142,馬天宇,山東,1980-1989,回,中國,娛樂/文藝,男,170-180,60-70,巨蟹
143,劉詩雯,遼寧,1990至今,漢,中國,體育,女,s160,40-50,未知
144,徐崢,上海,1970-1979,漢,中國,娛樂/文藝,男,170-180,70-80,白羊
145,郭富城,香港,1960-1969,漢,中國,娛樂/文藝,男,170-180,60-70,天蠍
146,何炅,湖南,1970-1979,漢,中國,娛樂/文藝/其它,男,170-180,40-50,金牛
147,郭德綱,天津,1970-1979,漢,中國,娛樂/文藝,男,160-170,未知,摩羯
148,徐悲鴻,江蘇,未知,漢,中國,未知,男,未知,未知,巨蟹
149,馬化騰,廣東,1970-1979,漢,中國,商業,男,未知,未知,天蠍
150,馬伊琍,上海,1970-1979,漢,中國,娛樂,女,160-170,未知,巨蟹
151,趙麗穎,河北,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
152,容祖兒,香港,1980-1989,漢,中國,娛樂,女,160-170,未知,雙子
153,全智賢,韓國,1980-1989,朝鮮,韓國,娛樂,女,170-180,50-60,天蠍
154,李代沫,黑龍江,1980-1989,未知,中國,娛樂,男,180-190,未知,金牛
155,菲爾普斯,美國,1980-1989,未知,未知,體育,男,geq190,70-80,未知
156,張雨綺,山東,1980-1989,漢,中國,娛樂,女,160-170,40-50,獅子
157,鄭多燕,韓國,1960-1969,未知,韓國,娛樂,女,160-170,40-50,射手
158,張惠妹,臺灣,1970-1979,其它,中國,娛樂,女,s160,未知,獅子
159,賈靜雯,臺灣,1970-1979,漢,中國,娛樂,女,s160,40-50,天秤
160,宋祖英,湖南,1960-1969,苗,中國,娛樂/文藝,女,160-170,未知,獅子
161,楊丞琳,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
162,汪東城,臺灣,1980-1989,漢,中國,娛樂,男,170-180,60-70,處女
163,楊鈺瑩,江西,1970-1979,漢,中國,娛樂/文藝,女,s160,40-50,金牛
164,易建聯,廣東,1980-1989,漢,中國,娛樂,男,geq190,未知,天蠍
165,鄧紫棋,上海/香港,1990至今,漢,中國/香港,娛樂,女,s160,40-50,獅子
166,林妙可,北京,1990至今,漢,中國,娛樂,女,s160,s40,巨蟹
167,張檬,河南,1980-1989,漢,中國,娛樂,女,160-170,40-50,摩羯
168,範瑋琪,美國,1970-1979,漢,中國,娛樂,女,170-180,50-60,雙魚
169,陸毅,上海,1970-1979,漢,中國,娛樂,男,180-190,60-70,摩羯
170,金志文,吉林,1980-1989,朝鮮,中國,娛樂/文藝,男,160-170,50-60,巨蟹
171,鄭秀妍,韓國/美國,1980-1989,朝鮮,韓國/美加,娛樂,女,160-170,40-50,白羊
172,李雲迪,重慶,1980-1989,漢,中國,娛樂/文藝,男,未知,未知,天秤
173,馬雲,浙江,1960-1969,漢,中國,未知,男,160-170,未知,天秤
174,何潔,其它,1980-1989,彝,中國,娛樂,女,s160,未知,白羊
175,朴信惠,韓國,1990至今,未知,未知,娛樂,女,160-170,40-50,水瓶
176,王石,廣西,1900-1959,漢,中國,商業,男,170-180,未知,水瓶
177,吳亦凡,廣東,1990至今,漢,中國/美加,娛樂,男,180-190,70-80,天蠍
178,周冬雨,河北,1990至今,漢,中國,娛樂/其它,女,160-170,40-50,水瓶
179,林依晨,臺灣,1980-1989,漢,中國,娛樂,女,160-170,未知,天蠍
180,孫燕姿,其它,1970-1979,漢,新馬,娛樂,女,160-170,40-50,獅子
181,高曉松,北京,1960-1969,漢,中國,娛樂/文藝,男,170-180,geq90,天蠍
182,餘少群,其它,1980-1989,漢,中國,娛樂,男,170-180,60-70,天秤
183,關?,吉林,1980-1989,滿,中國,娛樂/文藝,男,180-190,70-80,金牛
184,張藝謀,陝西,1900-1959,未知,中國,娛樂/文藝,男,160-170,未知,天蠍
185,朱茵,香港,1970-1979,漢,中國,娛樂,女,s160,40-50,天蠍
186,蔡卓妍,香港,1980-1989,漢,未知,娛樂,女,160-170,40-50,天蠍
187,徐靜蕾,北京,1970-1979,漢,中國,娛樂/文藝/其它,女,160-170,40-50,白羊
188,徐鶴寧,吉林,1970-1979,漢,中國,未知,女,未知,未知,未知
189,姚貝娜,其它,1980-1989,漢,中國,娛樂,女,160-170,未知,天秤
190,梁博,吉林,1990至今,漢,中國,娛樂/文藝,男,170-180,未知,白羊
191,黃聖依,上海,1980-1989,漢,中國,娛樂/商業,女,160-170,40-50,水瓶
192,徐熙娣,臺灣,1970-1979,漢,中國,娛樂,女,s160,40-50,雙子
193,朱元璋,安徽,1900前,漢,中國,政治/其它,男,未知,未知,天蠍
194,胡杏兒,香港,1970-1979,漢,中國,娛樂,女,170-180,40-50,天蠍
195,海清,江蘇,1970-1979,漢,中國,娛樂,女,160-170,40-50,摩羯
196,金泫雅,韓國,1990至今,朝鮮,未知,娛樂/文藝,女,160-170,40-50,雙子
197,莫文蔚,香港,1970-1979,未知,中國,娛樂/文藝,女,160-170,未知,雙子
198,蔣介石,浙江,1900前,漢,中國,未知,男,未知,未知,未知
199,波多野結衣,日本,1980-1989,其它,日本,娛樂,女,160-170,未知,雙子
200,彭麗媛,山東,1960-1969,漢,中國,娛樂/文藝,女,160-170,未知,天蠍
201,張威,北京,1980-1989,漢,中國,商業/文藝,男,180-190,geq90,未知
202,孔令輝,黑龍江,未知,漢,中國,體育,男,170-180,未知,未知
203,孫楠,遼寧,1960-1969,漢,中國,娛樂,男,170-180,60-70,水瓶
204,郝蕾,吉林,1970-1979,漢,中國,娛樂/文藝,女,160-170,50-60,天蠍
205,葉詩文,浙江,1990至今,漢,中國,未知,女,170-180,60-70,未知
206,丁俊暉,江蘇,1980-1989,漢,中國,體育,男,170-180,50-60,白羊
207,崔永元,天津,1960-1969,漢,中國,娛樂/文藝,男,170-180,未知,雙魚
208,周潤發,香港,1900-1959,漢,中國/香港,娛樂,男,180-190,未知,金牛
209,王哲林,福建,1990至今,漢,中國,未知,男,geq190,未知,未知
210,王思聰,遼寧,1980-1989,漢,中國,商業,男,未知,未知,摩羯
211,袁騰飛,北京,1970-1979,漢,中國,文藝/其它,男,180-190,未知,水瓶
212,馬英九,未知,1900-1959,漢,中國/臺灣,政治,男,170-180,未知,巨蟹
213,曹格,其它,1970-1979,未知,新馬,娛樂/文藝,男,170-180,50-60,巨蟹
214,袁立,浙江,1970-1979,漢,中國,娛樂,女,s160,40-50,巨蟹
215,李晨,北京,1970-1979,漢,中國,娛樂/文藝,男,170-180,60-70,射手
216,景甜,陝西,1980-1989,漢,中國,娛樂,女,160-170,40-50,巨蟹
217,梅豔芳,香港,1960-1969,漢,中國,娛樂/其它,女,160-170,未知,天秤
218,黃磊,江西,1970-1979,漢,中國,娛樂/文藝/其它,男,170-180,未知,射手
219,董卿,上海,1970-1979,漢,未知,娛樂,女,160-170,40-50,天蠍
220,陳妍希,臺灣,1980-1989,漢,中國/臺灣,娛樂,女,s160,未知,雙子
221,趙雅芝,香港,1900-1959,漢,中國,娛樂,女,160-170,未知,天蠍
222,譚詠麟,香港,1900-1959,漢,中國,娛樂,男,170-180,50-60,處女
223,佟麗婭,新疆,1980-1989,錫伯,中國,娛樂,女,160-170,40-50,獅子
224,王俊凱,重慶,1990至今,漢,中國,娛樂/其它,男,170-180,50-60,處女
225,多亮,新疆,1980-1989,回,中國,娛樂,男,180-190,70-80,獅子
226,孫紅雷,黑龍江,1970-1979,漢,中國,娛樂,男,170-180,未知,獅子
227,陳慧琳,香港,1970-1979,未知,中國,娛樂,女,170-180,50-60,天秤
228,陳偉霆,香港,1980-1989,未知,中國,娛樂,男,180-190,60-70,天蠍
229,劉震雲,河南,1900-1959,漢,中國,娛樂/文藝,男,未知,未知,金牛
230,安以軒,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
231,劉嘉玲,江蘇/香港,1960-1969,漢,中國,娛樂/文藝,女,160-170,40-50,射手
232,常石磊,廣東,1980-1989,蒙古,中國,娛樂/文藝,男,160-170,60-70,巨蟹
233,劉雨欣,湖南,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙魚
234,陳游標,江蘇,1960-1969,漢,中國,商業,男,未知,未知,未知
235,陳紫函,重慶,1970-1979,漢,中國,娛樂,女,160-170,40-50,白羊
236,李鐘碩,韓國,1980-1989,未知,韓國,娛樂,男,180-190,50-60,處女
237,黎姿,香港,1970-1979,漢,中國,娛樂,女,160-170,40-50,天秤
238,汪涵,江蘇,1970-1979,漢,中國,娛樂,男,170-180,60-70,白羊
239,紮克伯格,美國,1980-1989,其它,美加,娛樂/商業,男,未知,未知,金牛
240,張一一,湖南,1980-1989,未知,中國,文藝,男,未知,未知,未知
241,林青霞,臺灣,1900-1959,漢,中國,娛樂/文藝,女,160-170,40-50,天蠍
242,胡錦濤,江蘇,1900-1959,漢,中國,未知,男,未知,未知,未知
243,齊秦,臺灣,1960-1969,滿,中國,娛樂,男,170-180,60-70,摩羯
244,李湘,湖南,1970-1979,漢,中國,娛樂,女,160-170,50-60,水瓶
245,俞灝明,廣東,1980-1989,漢,中國,娛樂,男,170-180,60-70,天蠍
246,鐘麗緹,其它,1970-1979,其它,香港/美加,娛樂/文藝,女,160-170,40-50,處女
247,熊黛林,江蘇,1980-1989,漢,中國,娛樂,女,170-180,未知,天秤
248,林夕,香港,1960-1969,漢,中國,娛樂/文藝/其它,男,未知,未知,射手
249,王珞丹,內蒙古,1980-1989,漢,中國,娛樂,女,160-170,40-50,水瓶
250,陳好,山東,1970-1979,漢,中國,娛樂,女,160-170,未知,射手
251,張歆藝,四川,1980-1989,漢,未知,娛樂,女,170-180,未知,雙子
252,郎朗,其它,1980-1989,滿,中國,娛樂/文藝,男,170-180,70-80,雙子
253,鞏俐,遼寧,1960-1969,漢,新馬,娛樂,女,160-170,50-60,摩羯
254,井柏然,遼寧,1980-1989,漢,中國,娛樂,男,180-190,60-70,白羊
255,梁靜茹,其它,1970-1979,未知,新馬,娛樂,女,s160,40-50,雙子
256,金池,福建,1970-1979,漢,中國,娛樂,女,160-170,未知,水瓶
257,關悅,吉林,1970-1979,滿,中國,娛樂/其它,女,160-170,40-50,雙魚
258,吳尊,其它,1970-1979,漢,其它,娛樂/商業,男,180-190,70-80,天秤
259,吳秀波,北京,1960-1969,漢,中國,娛樂/商業/文藝/其它,男,170-180,60-70,處女
260,陳楚生,海南,1980-1989,漢,中國,娛樂/文藝,男,170-180,50-60,獅子
261,劉濤,其它,1970-1979,漢,中國,娛樂,女,160-170,40-50,巨蟹
262,周韋彤,貴州,1980-1989,水,中國,娛樂,女,170-180,50-60,處女
263,周子琰,河北,1990至今,漢,中國,娛樂/其它,女,160-170,40-50,巨蟹
264,李亞鵬,新疆,1970-1979,漢,中國,娛樂,男,180-190,70-80,天秤
265,關之琳,香港,1960-1969,滿,中國/香港,娛樂,女,160-170,50-60,天秤
266,李開複,臺灣,1960-1969,漢,中國,商業,男,160-170,未知,射手
267,郭采潔,臺灣,1980-1989,漢,中國,娛樂,女,s160,40-50,雙魚
268,王婧,未知,未知,未知,中國,娛樂,女,s160,40-50,獅子
269,張梓琳,山東/河北,1980-1989,漢,中國,娛樂,女,180-190,50-60,白羊
270,李小冉,北京,1970-1979,漢,中國,娛樂,女,160-170,40-50,金牛
271,李多海,韓國,1980-1989,朝鮮,韓國,娛樂,女,160-170,40-50,白羊
272,劉璿,湖南,1970-1979,漢,中國,娛樂/體育,女,s160,40-50,雙魚
273,胡彥斌,上海,1980-1989,漢,中國,娛樂/文藝,男,170-180,未知,巨蟹
274,鄭中基,香港/臺灣,1970-1979,漢,中國/臺灣,娛樂/文藝,男,170-180,60-70,雙魚
275,佟大為,遼寧,1970-1979,漢/滿,中國,娛樂,男,170-180,60-70,水瓶
276,鄒市明,貴州,1980-1989,漢,中國,娛樂/體育,男,160-170,40-50,金牛
277,俞承豪,韓國,1990至今,朝鮮,韓國,娛樂,男,170-180,50-60,獅子
278,閆妮,陝西,1970-1979,漢,中國,娛樂,女,160-170,未知,雙魚
279,潘金蓮,河北,1900前,漢,中國,其它,女,未知,未知,未知
280,歐弟,臺灣,1970-1979,漢,中國,娛樂,男,170-180,70-80,巨蟹
281,孟庭葦,臺灣,1960-1969,漢,中國,娛樂,女,s160,40-50,摩羯
282,黃渤,山東/甘肅,1970-1979,漢,中國,娛樂/文藝,男,170-180,未知,處女
283,黃貫中,香港,1960-1969,漢,中國,娛樂/文藝,男,170-180,60-70,白羊
284,張信哲,臺灣,1960-1969,漢,中國,娛樂,男,170-180,50-60,白羊
285,周華健,香港/臺灣,1960-1969,漢,未知,娛樂,男,170-180,70-80,摩羯
286,沈夢辰,湖南,1980-1989,土家,中國,娛樂,女,未知,未知,雙子
287,官恩娜,香港,1970-1979,未知,中國,娛樂,女,160-170,40-50,巨蟹
288,李毅,安徽,1970-1979,漢,中國,未知,男,180-190,70-80,未知
289,梁洛施,澳門/香港,1980-1989,漢,中國/澳門,娛樂,女,170-180,未知,巨蟹
290,董璿,黑龍江,1980-1989,漢,未知,娛樂,女,160-170,40-50,天蠍
291,邱吉爾,其它,1900前,其它,歐洲,未知,男,未知,未知,未知
292,郎咸平,臺灣,1900-1959,漢,中國,科學/其它,男,未知,未知,雙子
293,許晴,北京,1960-1969,土家,中國,娛樂,女,160-170,40-50,水瓶
294,王祖賢,香港/臺灣,1960-1969,漢,中國,娛樂,女,170-180,50-60,水瓶
295,鄭秀晶,韓國/美國,1990至今,朝鮮,韓國/美加,娛樂,女,160-170,40-50,天蠍
296,鄧小平,四川,1900-1959,漢,中國,政治,男,未知,未知,未知
297,劉國梁,河南,1970-1979,漢,中國,體育,男,160-170,50-60,未知
298,福原愛,日本,1980-1989,未知,日本,未知,女,s160,40-50,天蠍
299,那英,遼寧,1960-1969,滿,中國,娛樂,女,160-170,40-50,射手
300,葉一茜,福建,1980-1989,漢,中國,娛樂,女,160-170,40-50,處女
301,孫中山,廣東,1900前,漢,中國,政治,男,未知,未知,天蠍
302,顧漫,江蘇,1980-1989,漢,中國,文藝,女,未知,未知,未知
303,秦海璐,遼寧,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,獅子
304,張智霖,香港,1970-1979,漢,中國,娛樂,男,170-180,60-70,處女
305,黃子韜,山東,1990至今,漢,中國,娛樂,男,180-190,未知,金牛
306,郭碧婷,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,摩羯
307,王學兵,新疆,1970-1979,漢,中國,娛樂,男,170-180,60-70,處女
308,鄭伊健,香港,1960-1969,漢,中國,娛樂,男,170-180,60-70,天秤
309,佘詩曼,香港,1970-1979,漢,中國,娛樂,女,160-170,未知,雙子
310,張赫宣,遼寧,1980-1989,漢,中國,娛樂,男,未知,未知,天秤
311,朱咪咪,香港,1900-1959,未知,新馬,娛樂/文藝,女,s160,未知,摩羯
312,霍金,其它,1900-1959,未知,歐洲,科學,男,未知,未知,未知
313,本兮,新疆,1990至今,回,中國,娛樂/文藝,女,160-170,未知,巨蟹
314,鄧亞萍,河南,1970-1979,漢,中國,體育,女,s160,未知,未知
315,張含韻,四川,1980-1989,漢,中國,娛樂,女,160-170,40-50,白羊
316,潘瑋柏,美國,1980-1989,漢,美加,娛樂/商業,男,170-180,60-70,獅子
